flag;numero_de_nos;numero_de_arestas;densidade;longest_path;transitividade;grau_medio;maior_grau
True;497;496;0,004024144869215292;6;0;1,092741935483871;5
True;21;20;0,09523809523809523;4;0;1,2;4
True;142;141;0,014084507042253521;8;0;1,9645390070921986;53
True;15;14;0,13333333333333333;3;0;1,0714285714285714;2
True;30;29;0,06666666666666667;6;0;1,4827586206896552;5
True;30;29;0,06666666666666667;6;0;1,4827586206896552;5
True;86;85;0,023255813953488372;4;0;1,1647058823529413;9
True;10;9;0,2;6;0;1,5555555555555556;3
True;49;48;0,04081632653061224;3;0;1,2291666666666667;11
True;433;432;0,004618937644341801;6;0;1,599537037037037;162
True;152;151;0,013157894736842105;6;0;1,5562913907284768;21
True;423;422;0,004728132387706856;6;0;1,4549763033175356;49
True;37;36;0,05405405405405406;4;0;1,1666666666666667;4
True;109;108;0,01834862385321101;6;0;1,5648148148148149;31
True;312;311;0,00641025641025641;6;0;1,9678456591639872;165
True;90;89;0,022222222222222223;6;0;1,449438202247191;27
True;20;19;0,1;3;0;1,2105263157894737;4
True;6;5;0,3333333333333333;4;0;1,4;2
True;40;39;0,05;3;0;1,0256410256410255;2
True;89;88;0,02247191011235955;6;0;1,5113636363636365;14
True;6;5;0,3333333333333333;3;0;1,2;2
True;492;491;0,0040650406504065045;7;0;1,419551934826884;29
True;237;236;0,008438818565400843;6;0;1,4194915254237288;13
True;78;77;0,02564102564102564;4;0;1,2857142857142858;7
True;101;100;0,019801980198019802;3;0;1,12;2
True;29;28;0,06896551724137931;3;0;1,1071428571428572;2
True;115;114;0,017391304347826087;9;0;1,736842105263158;23
False;441;440;0,0045351473922902496;6;0;1,625;90
True;232;231;0,008620689655172414;7;0;1,87012987012987;101
True;82;81;0,024390243902439025;4;0;1,1975308641975309;4
True;145;144;0,013793103448275862;4;0;1,1458333333333333;11
True;54;53;0,037037037037037035;4;0;1,1886792452830188;5
True;318;317;0,006289308176100629;5;0;1,1703470031545742;16
True;397;396;0,005037783375314861;6;0;1,2424242424242424;7
True;10;9;0,2;3;0;1,1111111111111112;2
True;17;16;0,11764705882352941;4;0;1,9375;12
True;42;41;0,047619047619047616;4;0;1,5609756097560976;9
True;41;40;0,04878048780487805;3;0;1,075;2
True;186;185;0,010752688172043012;4;0;1,4162162162162162;14
True;38;37;0,05263157894736842;8;0;1,5675675675675675;13
True;208;207;0,009615384615384616;6;0;1,7198067632850242;31
True;72;71;0,027777777777777776;4;0;1,619718309859155;23
True;160;159;0,0125;5;0;1,2264150943396226;20
True;4;3;0,5;3;0;1,3333333333333333;2
True;25;24;0,08;3;0;1,125;2
True;52;51;0,038461538461538464;4;0;1,5686274509803921;24
True;269;268;0,007434944237918215;5;0;1,1865671641791045;31
True;262;261;0,007633587786259542;6;0;1,6360153256704981;16
True;12;11;0,16666666666666666;3;0;1,1818181818181819;2
True;418;417;0,004784688995215311;6;0;1,4580335731414868;61
True;184;183;0,010869565217391304;13;0;1,5027322404371584;9
True;481;480;0,004158004158004158;7;0;1,6145833333333333;69
True;65;64;0,03076923076923077;3;0;1,046875;3
True;6;5;0,3333333333333333;6;0;1,8;2
True;4;3;0,5;3;0;1,3333333333333333;2
True;4;3;0,5;4;0;1,6666666666666667;2
True;6;5;0,3333333333333333;3;0;1,2;2
True;28;27;0,07142857142857142;6;0;1,6666666666666667;4
