flag;numero_de_nos;numero_de_arestas;densidade;longest_path;transitividade;grau_medio;maior_grau
True;57;56;0,03508771929824561;4;0;1,0535714285714286;3
True;54;53;0,037037037037037035;3;0;1,0566037735849056;3
True;119;118;0,01680672268907563;3;0;1,2627118644067796;31
True;77;76;0,025974025974025976;3;0;1,0263157894736843;3
True;22;21;0,09090909090909091;3;0;1,0476190476190477;2
True;85;84;0,023529411764705882;3;0;1,0119047619047619;2
True;75;74;0,02666666666666667;3;0;1,2432432432432432;18
True;115;114;0,017391304347826087;4;0;1,5789473684210527;60
True;103;102;0,019417475728155338;3;0;1,0686274509803921;8
True;107;106;0,018691588785046728;3;0;1,2264150943396226;22
True;193;192;0,010362694300518135;6;0;1,703125;83
True;71;70;0,028169014084507043;3;0;1,042857142857143;3
True;150;149;0,013333333333333334;4;0;1,0134228187919463;2
True;82;81;0,024390243902439025;4;0;1,0617283950617284;3
True;76;75;0,02631578947368421;3;0;1,0133333333333334;2
True;65;64;0,03076923076923077;3;0;1,03125;3
True;23;22;0,08695652173913043;3;0;1,0454545454545454;2
True;163;162;0,012269938650306749;4;0;1,4938271604938271;34
True;66;65;0,030303030303030304;3;0;1,0307692307692307;2
True;54;53;0,037037037037037035;3;0;1,0377358490566038;2
True;112;111;0,017857142857142856;5;0;1,7927927927927927;70
True;41;40;0,04878048780487805;3;0;1,025;2
True;67;66;0,029850746268656716;3;0;1,1666666666666667;12
True;64;63;0,03125;3;0;1,0317460317460319;2
True;102;101;0,0196078431372549;6;0;1,396039603960396;37
True;44;43;0,045454545454545456;3;0;1,0232558139534884;2
True;42;41;0,047619047619047616;3;0;1,0731707317073171;3
True;71;70;0,028169014084507043;3;0;1,0142857142857142;2
True;91;90;0,02197802197802198;3;0;1,011111111111111;2
True;114;113;0,017543859649122806;4;0;1,3097345132743363;33
True;86;85;0,023255813953488372;3;0;1,0235294117647058;2
True;26;25;0,07692307692307693;3;0;1,04;2
True;135;134;0,014814814814814815;3;0;1,1567164179104477;15
True;58;57;0,034482758620689655;4;0;1,2280701754385965;12
True;74;73;0,02702702702702703;3;0;1,36986301369863;28
True;113;112;0,017699115044247787;3;0;1,0089285714285714;2
True;100;99;0,02;4;0;1,494949494949495;45
True;32;31;0,0625;3;0;1,032258064516129;2
True;33;32;0,06060606060606061;5;0;1,375;8
True;57;56;0,03508771929824561;3;0;1,0178571428571428;2
True;98;97;0,02040816326530612;5;0;1,1030927835051547;5
True;88;87;0,022727272727272728;3;0;1,0344827586206897;2
True;152;151;0,013157894736842105;4;0;1,3377483443708609;27
True;79;78;0,02531645569620253;6;0;1,064102564102564;3
True;68;67;0,029411764705882353;3;0;1,0149253731343284;2
True;44;43;0,045454545454545456;3;0;1,0465116279069768;3
True;20;19;0,1;4;0;1,105263157894737;2
True;74;73;0,02702702702702703;3;0;1,0136986301369864;2
True;56;55;0,03571428571428571;3;0;1,0545454545454545;4
True;11;10;0,18181818181818182;3;0;1,1;2
True;46;45;0,043478260869565216;3;0;1,0444444444444445;2
True;48;47;0,041666666666666664;4;0;1,1702127659574468;6
True;164;163;0,012195121951219513;4;0;1,5460122699386503;87
True;47;46;0,0425531914893617;4;0;1,9565217391304348;38
True;45;44;0,044444444444444446;3;0;1,0227272727272727;2
True;47;46;0,0425531914893617;4;0;1,0869565217391304;4
True;59;58;0,03389830508474576;3;0;1,0862068965517242;3
True;7;6;0,2857142857142857;3;0;1,5;4
True;111;110;0,018018018018018018;3;0;1,0272727272727273;4
True;57;56;0,03508771929824561;4;0;1,0535714285714286;2
True;34;33;0,058823529411764705;3;0;1,0303030303030303;2
True;115;114;0,017391304347826087;3;0;1,0701754385964912;6
True;61;60;0,03278688524590164;3;0;1,0166666666666666;2
True;164;163;0,012195121951219513;5;0;1,4846625766871167;77
True;152;151;0,013157894736842105;4;0;1,6158940397350994;88
True;30;29;0,06666666666666667;3;0;1,0689655172413792;2
True;74;73;0,02702702702702703;3;0;1,082191780821918;7
